MILE 12 WARRIOR  |  All 490 Keywords — Every Primary With Its Versions,,,,,,,,
"PRIMARY rows are the ranking target. Secondary = H2s and subheads. LSI = body copy for topical depth. Question/AEO = its own H2 with a 40-60 word answer block. Long-tail = fastest wins, often the meta description angle.",,,,,,,,
,,,,,,,,
#,Primary #,Primary Keyword,Keyword / Version,Type,Cluster,Target Page,Winnability,Phase
55,8,best sleep schedule for OTR drivers,how much sleep does a truck driver need,Question / AEO,Sleep & Fatigue,/sleep-guide,Tier 1,Phase 2
56,8,best sleep schedule for OTR drivers,how to reset your sleep schedule after night driving,Long-tail,Sleep & Fatigue,/sleep-guide,Tier 1,Phase 2
57,9,hours of service rules explained,hours of service rules explained,PRIMARY,HOS & Compliance,/hours-of-service,Tier 3,Phase 1
58,9,hours of service rules explained,FMCSA hours of service rules,Secondary,HOS & Compliance,/hours-of-service,Tier 3,Phase 1
59,9,hours of service rules explained,HOS rules for truck drivers 2026,Secondary,HOS & Compliance,/hours-of-service,Tier 3,Phase 1
60,9,hours of service rules explained,49 CFR Part 395 explained,LSI,HOS & Compliance,/hours-of-service,Tier 3,Phase 1
61,9,hours of service rules explained,ELD hours of service tracking,LSI,HOS & Compliance,/hours-of-service,Tier 3,Phase 1
62,9,hours of service rules explained,how many hours can a truck driver drive in a day,Question / AEO,HOS & Compliance,/hours-of-service,Tier 3,Phase 1
63,9,hours of service rules explained,hours of service rules explained in plain english,Long-tail,HOS & Compliance,/hours-of-service,Tier 3,Phase 1
64,10,HOS 14 hour rule,HOS 14 hour rule,PRIMARY,HOS & Compliance,/hours-of-service,Tier 3,Phase 1
65,10,HOS 14 hour rule,14 hour on duty window,Secondary,HOS & Compliance,/hours-of-service,Tier 3,Phase 1
66,10,HOS 14 hour rule,14 hour clock trucking,Secondary,HOS & Compliance,/hours-of-service,Tier 3,Phase 1
67,10,HOS 14 hour rule,on duty not driving time,LSI,HOS & Compliance,/hours-of-service,Tier 3,Phase 1
68,10,HOS 14 hour rule,14 hour rule exceptions,LSI,HOS & Compliance,/hours-of-service,Tier 3,Phase 1
69,10,HOS 14 hour rule,what is the 14 hour rule for truck drivers,Question / AEO,HOS & Compliance,/hours-of-service,Tier 3,Phase 1
70,10,HOS 14 hour rule,does the 14 hour clock stop for breaks,Long-tail,HOS & Compliance,/hours-of-service,Tier 3,Phase 1
71,11,11 hour driving limit,11 hour driving limit,PRIMARY,HOS & Compliance,/hours-of-service,Tier 3,Phase 1
72,11,11 hour driving limit,11 hour rule truck drivers,Secondary,HOS & Compliance,/hours-of-service,Tier 3,Phase 1
73,11,11 hour driving limit,maximum driving hours per day trucking,Secondary,HOS & Compliance,/hours-of-service,Tier 3,Phase 1
74,11,11 hour driving limit,10 hour off duty reset,LSI,HOS & Compliance,/hours-of-service,Tier 3,Phase 1
75,11,11 hour driving limit,driving time vs on duty time,LSI,HOS & Compliance,/hours-of-service,Tier 3,Phase 1
76,11,11 hour driving limit,how many hours can you drive after a 10 hour break,Question / AEO,HOS & Compliance,/hours-of-service,Tier 3,Phase 1
77,11,11 hour driving limit,what happens if you go over 11 driving hours,Long-tail,HOS & Compliance,/hours-of-service,Tier 3,Phase 1
78,12,30 minute break rule FMCSA,30 minute break rule FMCSA,PRIMARY,HOS & Compliance,/hos-violations,Tier 2,Phase 1
79,12,30 minute break rule FMCSA,mandatory 30 minute break trucking,Secondary,HOS & Compliance,/hos-violations,Tier 2,Phase 1
80,12,30 minute break rule FMCSA,8 hour driving break requirement,Secondary,HOS & Compliance,/hos-violations,Tier 2,Phase 1
81,12,30 minute break rule FMCSA,on duty not driving break option,LSI,HOS & Compliance,/hos-violations,Tier 2,Phase 1
82,12,30 minute break rule FMCSA,break logging ELD,LSI,HOS & Compliance,/hos-violations,Tier 2,Phase 1
83,12,30 minute break rule FMCSA,what is the 30 minute break rule,Question / AEO,HOS & Compliance,/hos-violations,Tier 2,Phase 1
84,12,30 minute break rule FMCSA,when do you have to take your 30 minute break,Long-tail,HOS & Compliance,/hos-violations,Tier 2,Phase 1
85,13,split sleeper berth rule,split sleeper berth rule,PRIMARY,HOS & Compliance,/split-sleeper,Tier 2,Phase 1
86,13,split sleeper berth rule,8/2 split sleeper explained,Secondary,HOS & Compliance,/split-sleeper,Tier 2,Phase 1
87,13,split sleeper berth rule,7/3 split sleeper berth,Secondary,HOS & Compliance,/split-sleeper,Tier 2,Phase 1
88,13,split sleeper berth rule,sleeper berth provision FMCSA,LSI,HOS & Compliance,/split-sleeper,Tier 2,Phase 1
89,13,split sleeper berth rule,ELD split sleeper setup,LSI,HOS & Compliance,/split-sleeper,Tier 2,Phase 1
90,13,split sleeper berth rule,how does the split sleeper berth rule work,Question / AEO,HOS & Compliance,/split-sleeper,Tier 2,Phase 1
91,13,split sleeper berth rule,split sleeper berth examples for new drivers,Long-tail,HOS & Compliance,/split-sleeper,Tier 2,Phase 1
92,14,most common HOS violations,most common HOS violations,PRIMARY,HOS & Compliance,/hos-violations,Tier 1,Phase 1
93,14,most common HOS violations,top HOS violations truck drivers,Secondary,HOS & Compliance,/hos-violations,Tier 1,Phase 1
94,14,most common HOS violations,how to avoid HOS violations,Secondary,HOS & Compliance,/hos-violations,Tier 1,Phase 1
95,14,most common HOS violations,form and manner violation ELD,LSI,HOS & Compliance,/hos-violations,Tier 1,Phase 1
96,14,most common HOS violations,log falsification consequences,LSI,HOS & Compliance,/hos-violations,Tier 1,Phase 1
97,14,most common HOS violations,what are the most common hours of service violations,Question / AEO,HOS & Compliance,/hos-violations,Tier 1,Phase 1
98,14,most common HOS violations,how much is a 14 hour rule violation fine,Long-tail,HOS & Compliance,/hos-violations,Tier 1,Phase 1
99,15,CSA score explained,CSA score explained,PRIMARY,HOS & Compliance,/csa-score,Tier 2,Phase 2
100,15,CSA score explained,how to improve CSA score,Secondary,HOS & Compliance,/csa-score,Tier 2,Phase 2
101,15,CSA score explained,CSA BASIC categories,Secondary,HOS & Compliance,/csa-score,Tier 2,Phase 2
102,15,CSA score explained,PSP report truck driver,LSI,HOS & Compliance,/csa-score,Tier 2,Phase 2
103,15,CSA score explained,safety measurement system driver,LSI,HOS & Compliance,/csa-score,Tier 2,Phase 2
104,15,CSA score explained,what is a good CSA score for a driver,Question / AEO,HOS & Compliance,/csa-score,Tier 2,Phase 2
105,15,CSA score explained,how long do CSA points stay on your record,Long-tail,HOS & Compliance,/csa-score,Tier 2,Phase 2
106,16,pre-trip inspection checklist,pre-trip inspection checklist,PRIMARY,HOS & Compliance,/pre-trip-inspection,Tier 1,Phase 1
107,16,pre-trip inspection checklist,post-trip inspection checklist,Secondary,HOS & Compliance,/pre-trip-inspection,Tier 1,Phase 1
108,16,pre-trip inspection checklist,printable pre trip inspection sheet,Secondary,HOS & Compliance,/pre-trip-inspection,Tier 1,Phase 1
109,16,pre-trip inspection checklist,DVIR requirements,LSI,HOS & Compliance,/pre-trip-inspection,Tier 1,Phase 1
110,16,pre-trip inspection checklist,49 CFR 396.11 explained,LSI,HOS & Compliance,/pre-trip-inspection,Tier 1,Phase 1
111,16,pre-trip inspection checklist,what is checked in a pre-trip inspection,Question / AEO,HOS & Compliance,/pre-trip-inspection,Tier 1,Phase 1
112,16,pre-trip inspection checklist,free printable pre trip inspection checklist pdf,Long-tail,HOS & Compliance,/pre-trip-inspection,Tier 1,Phase 1
113,17,truck driver back pain relief,truck driver back pain relief,PRIMARY,Physical Health,/back-pain,Tier 1,Phase 1
114,17,truck driver back pain relief,lower back pain from driving,Secondary,Physical Health,/back-pain,Tier 1,Phase 1
115,17,truck driver back pain relief,sciatica truck driver,Secondary,Physical Health,/back-pain,Tier 1,Phase 1
116,17,truck driver back pain relief,whole body vibration trucking,LSI,Physical Health,/back-pain,Tier 1,Phase 1
117,17,truck driver back pain relief,lumbar support driving seat,LSI,Physical Health,/back-pain,Tier 1,Phase 1
118,17,truck driver back pain relief,how do truck drivers avoid back pain,Question / AEO,Physical Health,/back-pain,Tier 1,Phase 1
119,17,truck driver back pain relief,best stretches for lower back pain from long drives,Long-tail,Physical Health,/back-pain,Tier 1,Phase 1
120,18,exercises for truck drivers in cab,exercises for truck drivers in cab,PRIMARY,Physical Health,/cab-workouts,Tier 1,Phase 1
121,18,exercises for truck drivers in cab,resistance band workout truck driver,Secondary,Physical Health,/cab-workouts,Tier 1,Phase 1
122,18,exercises for truck drivers in cab,rest stop workout routine,Secondary,Physical Health,/cab-workouts,Tier 1,Phase 1
123,18,exercises for truck drivers in cab,bodyweight exercises for drivers,LSI,Physical Health,/cab-workouts,Tier 1,Phase 1
124,18,exercises for truck drivers in cab,truck driver fitness plan,LSI,Physical Health,/cab-workouts,Tier 1,Phase 1
125,18,exercises for truck drivers in cab,what exercises can you do in a truck cab,Question / AEO,Physical Health,/cab-workouts,Tier 1,Phase 1
126,18,exercises for truck drivers in cab,15 minute workout for truck drivers at a rest stop,Long-tail,Physical Health,/cab-workouts,Tier 1,Phase 1
127,19,stretches for truck drivers,stretches for truck drivers,PRIMARY,Physical Health,/back-pain,Tier 1,Phase 1
128,19,stretches for truck drivers,stretching routine for drivers,Secondary,Physical Health,/back-pain,Tier 1,Phase 1
129,19,stretches for truck drivers,hip flexor stretch for drivers,Secondary,Physical Health,/back-pain,Tier 1,Phase 1
130,19,stretches for truck drivers,hamstring stretch long drives,LSI,Physical Health,/back-pain,Tier 1,Phase 1
131,19,stretches for truck drivers,2 hour stop stretch rule,LSI,Physical Health,/back-pain,Tier 1,Phase 1
132,19,stretches for truck drivers,how often should truck drivers stretch,Question / AEO,Physical Health,/back-pain,Tier 1,Phase 1
133,19,stretches for truck drivers,5 minute stretch routine for truck drivers,Long-tail,Physical Health,/back-pain,Tier 1,Phase 1
134,20,healthy eating for truck drivers,healthy eating for truck drivers,PRIMARY,Physical Health,/nutrition,Tier 1,Phase 1
135,20,healthy eating for truck drivers,truck driver diet plan,Secondary,Physical Health,/nutrition,Tier 1,Phase 1
136,20,healthy eating for truck drivers,eating healthy on the road trucking,Secondary,Physical Health,/nutrition,Tier 1,Phase 1
137,20,healthy eating for truck drivers,protein rich breakfast driver,LSI,Physical Health,/nutrition,Tier 1,Phase 1
138,20,healthy eating for truck drivers,cooler food for truckers,LSI,Physical Health,/nutrition,Tier 1,Phase 1
139,20,healthy eating for truck drivers,what can truck drivers eat that is healthy,Question / AEO,Physical Health,/nutrition,Tier 1,Phase 1
140,20,healthy eating for truck drivers,healthy eating tips for over the road truck drivers,Long-tail,Physical Health,/nutrition,Tier 1,Phase 1
141,21,truck stop healthy food options,truck stop healthy food options,PRIMARY,Physical Health,/nutrition,Tier 1,Phase 1
142,21,truck stop healthy food options,healthy food at truck stops,Secondary,Physical Health,/nutrition,Tier 1,Phase 1
143,21,truck stop healthy food options,best truck stop food choices,Secondary,Physical Health,/nutrition,Tier 1,Phase 1
144,21,truck stop healthy food options,Pilot Loves TA healthy options,LSI,Physical Health,/nutrition,Tier 1,Phase 1
145,21,truck stop healthy food options,fast food swaps for drivers,LSI,Physical Health,/nutrition,Tier 1,Phase 1
146,21,truck stop healthy food options,what is the healthiest thing to eat at a truck stop,Question / AEO,Physical Health,/nutrition,Tier 1,Phase 1
147,21,truck stop healthy food options,healthy truck stop meals under 600 calories,Long-tail,Physical Health,/nutrition,Tier 1,Phase 1
148,22,meal prep for truck drivers,meal prep for truck drivers,PRIMARY,Physical Health,/nutrition,Tier 1,Phase 2
149,22,meal prep for truck drivers,truck driver meal prep ideas,Secondary,Physical Health,/nutrition,Tier 1,Phase 2
150,22,meal prep for truck drivers,12v cooler meal ideas trucking,Secondary,Physical Health,/nutrition,Tier 1,Phase 2
151,22,meal prep for truck drivers,portable slow cooker trucking,LSI,Physical Health,/nutrition,Tier 1,Phase 2
152,22,meal prep for truck drivers,cab cooking equipment,LSI,Physical Health,/nutrition,Tier 1,Phase 2
153,22,meal prep for truck drivers,how do truck drivers meal prep,Question / AEO,Physical Health,/nutrition,Tier 1,Phase 2
154,22,meal prep for truck drivers,easy meal prep recipes for long haul truckers,Long-tail,Physical Health,/nutrition,Tier 1,Phase 2
155,23,truck driver health problems,truck driver health problems,PRIMARY,Physical Health,/driver-health-risks,Tier 2,Phase 2
156,23,truck driver health problems,common health issues truck drivers,Secondary,Physical Health,/driver-health-risks,Tier 2,Phase 2
157,23,truck driver health problems,sedentary lifestyle risks drivers,Secondary,Physical Health,/driver-health-risks,Tier 2,Phase 2
158,23,truck driver health problems,truck driver skin cancer left arm,LSI,Physical Health,/driver-health-risks,Tier 2,Phase 2
159,23,truck driver health problems,hearing loss truck drivers,LSI,Physical Health,/driver-health-risks,Tier 2,Phase 2
160,23,truck driver health problems,why are truck drivers unhealthy,Question / AEO,Physical Health,/driver-health-risks,Tier 2,Phase 2
161,23,truck driver health problems,long term health effects of driving a truck,Long-tail,Physical Health,/driver-health-risks,Tier 2,Phase 2
162,24,DOT physical requirements,DOT physical requirements,PRIMARY,Physical Health,/dot-physical,Tier 2,Phase 2
163,24,DOT physical requirements,DOT physical disqualifying conditions,Secondary,Physical Health,/dot-physical,Tier 2,Phase 2
164,24,DOT physical requirements,how to pass a DOT physical,Secondary,Physical Health,/dot-physical,Tier 2,Phase 2
165,24,DOT physical requirements,medical examiner certificate renewal,LSI,Physical Health,/dot-physical,Tier 2,Phase 2
166,24,DOT physical requirements,diabetes and truck driving,LSI,Physical Health,/dot-physical,Tier 2,Phase 2
167,24,DOT physical requirements,what blood pressure disqualifies a CDL driver,Question / AEO,Physical Health,/dot-physical,Tier 2,Phase 2
168,24,DOT physical requirements,what to do the week before your DOT physical,Long-tail,Physical Health,/dot-physical,Tier 2,Phase 2
169,25,truck driver mental health,truck driver mental health,PRIMARY,Mental Wellness,/mental-health,Tier 2,Phase 1
170,25,truck driver mental health,mental health in trucking industry,Secondary,Mental Wellness,/mental-health,Tier 2,Phase 1
171,25,truck driver mental health,emotional wellness professional drivers,Secondary,Mental Wellness,/mental-health,Tier 2,Phase 1
172,25,truck driver mental health,trucking mental health stigma,LSI,Mental Wellness,/mental-health,Tier 2,Phase 1
173,25,truck driver mental health,CDL and mental health disclosure,LSI,Mental Wellness,/mental-health,Tier 2,Phase 1
174,25,truck driver mental health,why is mental health a problem in trucking,Question / AEO,Mental Wellness,/mental-health,Tier 2,Phase 1
175,25,truck driver mental health,mental health support for over the road drivers,Long-tail,Mental Wellness,/mental-health,Tier 2,Phase 1
176,26,truck driver depression,truck driver depression,PRIMARY,Mental Wellness,/mental-health,Tier 2,Phase 1
177,26,truck driver depression,depression rates truck drivers,Secondary,Mental Wellness,/mental-health,Tier 2,Phase 1
178,26,truck driver depression,signs of depression in drivers,Secondary,Mental Wellness,/mental-health,Tier 2,Phase 1
179,26,truck driver depression,persistent sadness loss of interest driver,LSI,Mental Wellness,/mental-health,Tier 2,Phase 1
180,26,truck driver depression,treatment options for driver depression,LSI,Mental Wellness,/mental-health,Tier 2,Phase 1
181,26,truck driver depression,why are truck drivers more likely to be depressed,Question / AEO,Mental Wellness,/mental-health,Tier 2,Phase 1
182,26,truck driver depression,how to know if you are depressed as a truck driver,Long-tail,Mental Wellness,/mental-health,Tier 2,Phase 1
183,27,loneliness on the road trucking,loneliness on the road trucking,PRIMARY,Mental Wellness,/loneliness,Tier 1,Phase 1
184,27,loneliness on the road trucking,how to deal with isolation as a trucker,Secondary,Mental Wellness,/loneliness,Tier 1,Phase 1
185,27,loneliness on the road trucking,trucker support group online,Secondary,Mental Wellness,/loneliness,Tier 1,Phase 1
186,27,loneliness on the road trucking,pet in the truck companionship,LSI,Mental Wellness,/loneliness,Tier 1,Phase 1
187,27,loneliness on the road trucking,video call routine OTR,LSI,Mental Wellness,/loneliness,Tier 1,Phase 1
188,27,loneliness on the road trucking,how do truck drivers deal with loneliness,Question / AEO,Mental Wellness,/loneliness,Tier 1,Phase 1
189,27,loneliness on the road trucking,how to make friends as an over the road truck driver,Long-tail,Mental Wellness,/loneliness,Tier 1,Phase 1
190,28,stress management for truck drivers,stress management for truck drivers,PRIMARY,Mental Wellness,/stress-burnout,Tier 1,Phase 2
191,28,stress management for truck drivers,stress relief techniques drivers,Secondary,Mental Wellness,/stress-burnout,Tier 1,Phase 2
192,28,stress management for truck drivers,4-7-8 breathing while driving,Secondary,Mental Wellness,/stress-burnout,Tier 1,Phase 2
193,28,stress management for truck drivers,cortisol and driving judgment,LSI,Mental Wellness,/stress-burnout,Tier 1,Phase 2
194,28,stress management for truck drivers,mindfulness apps for truckers,LSI,Mental Wellness,/stress-burnout,Tier 1,Phase 2
195,28,stress management for truck drivers,how do you manage stress as a truck driver,Question / AEO,Mental Wellness,/stress-burnout,Tier 1,Phase 2
196,28,stress management for truck drivers,quick stress relief techniques to do at a fuel stop,Long-tail,Mental Wellness,/stress-burnout,Tier 1,Phase 2
197,29,truck driver burnout,truck driver burnout,PRIMARY,Mental Wellness,/stress-burnout,Tier 1,Phase 2
198,29,truck driver burnout,burnout signs professional drivers,Secondary,Mental Wellness,/stress-burnout,Tier 1,Phase 2
199,29,truck driver burnout,recovering from trucking burnout,Secondary,Mental Wellness,/stress-burnout,Tier 1,Phase 2
200,29,truck driver burnout,compassion fatigue long haul,LSI,Mental Wellness,/stress-burnout,Tier 1,Phase 2
201,29,truck driver burnout,home time and burnout,LSI,Mental Wellness,/stress-burnout,Tier 1,Phase 2
202,29,truck driver burnout,what does trucking burnout feel like,Question / AEO,Mental Wellness,/stress-burnout,Tier 1,Phase 2
203,29,truck driver burnout,how to recover from burnout without quitting trucking,Long-tail,Mental Wellness,/stress-burnout,Tier 1,Phase 2
204,30,truck driver anxiety,truck driver anxiety,PRIMARY,Mental Wellness,/mental-health,Tier 1,Phase 2
205,30,truck driver anxiety,anxiety while driving a semi,Secondary,Mental Wellness,/mental-health,Tier 1,Phase 2
206,30,truck driver anxiety,panic attacks truck drivers,Secondary,Mental Wellness,/mental-health,Tier 1,Phase 2
207,30,truck driver anxiety,deadline pressure anxiety trucking,LSI,Mental Wellness,/mental-health,Tier 1,Phase 2
208,30,truck driver anxiety,traffic anxiety commercial driver,LSI,Mental Wellness,/mental-health,Tier 1,Phase 2
209,30,truck driver anxiety,how do truck drivers deal with anxiety,Question / AEO,Mental Wellness,/mental-health,Tier 1,Phase 2
210,30,truck driver anxiety,what to do when you have a panic attack in your truck,Long-tail,Mental Wellness,/mental-health,Tier 1,Phase 2
211,31,mental health resources for truck drivers,mental health resources for truck drivers,PRIMARY,Mental Wellness,/mental-health,Tier 1,Phase 1
212,31,mental health resources for truck drivers,crisis resources for drivers,Secondary,Mental Wellness,/mental-health,Tier 1,Phase 1
213,31,mental health resources for truck drivers,counseling services for truckers,Secondary,Mental Wellness,/mental-health,Tier 1,Phase 1
214,31,mental health resources for truck drivers,988 lifeline crisis text line,LSI,Mental Wellness,/mental-health,Tier 1,Phase 1
215,31,mental health resources for truck drivers,St Christopher Fund driver assistance,LSI,Mental Wellness,/mental-health,Tier 1,Phase 1
216,31,mental health resources for truck drivers,where can a truck driver get mental health help,Question / AEO,Mental Wellness,/mental-health,Tier 1,Phase 1
217,31,mental health resources for truck drivers,free mental health hotlines for truck drivers,Long-tail,Mental Wellness,/mental-health,Tier 1,Phase 1
218,32,defensive driving tips for truck drivers,defensive driving tips for truck drivers,PRIMARY,Defensive Driving,/defensive-driving,Tier 2,Phase 1
219,32,defensive driving tips for truck drivers,defensive driving techniques commercial vehicle,Secondary,Defensive Driving,/defensive-driving,Tier 2,Phase 1
220,32,defensive driving tips for truck drivers,situational awareness truck driving,Secondary,Defensive Driving,/defensive-driving,Tier 2,Phase 1
221,32,defensive driving tips for truck drivers,escape route driving strategy,LSI,Defensive Driving,/defensive-driving,Tier 2,Phase 1
222,32,defensive driving tips for truck drivers,reading traffic flow 15 seconds ahead,LSI,Defensive Driving,/defensive-driving,Tier 2,Phase 1
223,32,defensive driving tips for truck drivers,what is defensive driving for truckers,Question / AEO,Defensive Driving,/defensive-driving,Tier 2,Phase 1
224,32,defensive driving tips for truck drivers,defensive driving habits that prevent truck accidents,Long-tail,Defensive Driving,/defensive-driving,Tier 2,Phase 1
225,33,following distance semi truck,following distance semi truck,PRIMARY,Defensive Driving,/defensive-driving,Tier 2,Phase 1
226,33,following distance semi truck,safe following distance trucking,Secondary,Defensive Driving,/defensive-driving,Tier 2,Phase 1
227,33,following distance semi truck,7 second rule truck driving,Secondary,Defensive Driving,/defensive-driving,Tier 2,Phase 1
